platform,org,repo,metric,timeKey,value,country,category,orgLabel
github,DigitalPlatDev,FreeDomain,issues_new,2024,67581,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_new,2025,3259,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_new,2024-05,83,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_new,2024-06,907,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_new,2024-07,2257,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_new,2024-08,2922,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_new,2024-09,2801,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_new,2024-10,5998,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_new,2024-11,13824,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_new,2024-12,38792,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_new,2025-01,3259,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_new,2024Q2,990,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_new,2024Q3,7980,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_new,2024Q4,58613,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_new,2025Q1,3259,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_closed,2024,67994,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_closed,2025,3300,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_closed,2024-05,27,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_closed,2024-06,965,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_closed,2024-07,2288,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_closed,2024-08,3067,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_closed,2024-09,2911,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_closed,2024-10,6001,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_closed,2024-11,13827,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_closed,2024-12,38911,US,platform,DigitalPlatDev
github,DigitalPlatDev,FreeDomain,issues_closed,2025-01,3300,US,platform,DigitalPlatDev
