platform,org,repo,metric,timeKey,value,country,category,orgLabel
github,NixOS,nixpkgs,openrank,2015,2625.9,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2016,5026.87,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2017,6488.37,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2018,8147.28,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2019,9822.75,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020,12096.35,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021,14991.73,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022,16567.96,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023,20094.42,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024,25973.93,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2025,24711.16,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2015-01,49.55,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2015-02,95.19,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2015-03,140.61,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2015-04,175.97,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2015-05,186.25,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2015-06,212.2,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2015-07,224.83,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2015-08,247.1,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2015-09,269.03,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2015-10,339.07,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2015-11,325.15,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2015-12,360.97,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2016-01,354.63,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2016-02,370.5,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2016-03,396.57,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2016-04,399.91,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2016-05,409.43,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2016-06,408.86,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2016-07,408.59,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2016-08,424.12,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2016-09,459.99,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2016-10,461.65,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2016-11,456.43,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2016-12,476.19,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2017-01,453.15,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2017-02,493,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2017-03,534.75,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2017-04,547.1,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2017-05,538.3,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2017-06,499.06,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2017-07,510.65,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2017-08,531.24,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2017-09,567.55,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2017-10,603.61,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2017-11,618.69,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2017-12,591.26,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2018-01,604.96,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2018-02,631.41,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2018-03,689.75,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2018-04,673.3,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2018-05,656.81,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2018-06,672.53,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2018-07,662.18,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2018-08,667.26,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2018-09,689.59,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2018-10,721.02,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2018-11,752.94,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2018-12,725.53,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2019-01,744.65,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2019-02,745.63,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2019-03,770.88,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2019-04,787.44,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2019-05,780.41,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2019-06,739.48,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2019-07,779.04,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2019-08,846.01,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2019-09,867.04,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2019-10,892.59,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2019-11,931.1,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2019-12,938.48,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020-01,916.97,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020-02,930.76,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020-03,929.8,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020-04,953.11,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020-05,951.44,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020-06,1007.59,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020-07,985.64,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020-08,988.58,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020-09,1012.2,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020-10,1085.65,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020-11,1171.76,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2020-12,1162.86,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-01,1226.88,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-02,1206.5,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-03,1168.07,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-04,1202.1,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-05,1282.33,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-06,1356.4,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-07,1281.98,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-08,1283.35,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-09,1297.48,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-10,1272,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-11,1234.76,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2021-12,1289.85,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-01,1345.78,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-02,1323.63,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-03,1323.97,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-04,1369.09,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-05,1408.63,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-06,1380.9,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-07,1409.42,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-08,1416.14,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-09,1321.93,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-10,1379.58,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-11,1438.59,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2022-12,1450.32,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-01,1493.32,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-02,1400.49,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-03,1502.52,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-04,1552.11,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-05,1648.21,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-06,1602.85,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-07,1714.02,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-08,1780.32,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-09,1643.06,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-10,1822.93,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-11,1936.88,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2023-12,1997.71,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024-01,2140.99,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024-02,1945.8,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024-03,2007.11,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024-04,2018.25,CH,os,NixOS
github,NixOS,nixpkgs,openrank,2024-05,2040.86,CH,os,NixOS
